"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"DEU","Germany","FUA","Functional Urban Area","DE030F","Erfurt","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",170,,
"ESP","Spain","FUA","Functional Urban Area","ES071F","Cádiz","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",22,,
"CHE","Switzerland","FUA","Functional Urban Area","CH003F","Genève","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.8,,
"BEL","Belgium","FUA","Functional Urban Area","BE011F","Oostende","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",32.8,,
"COL","Colombia","FUA","Functional Urban Area","COL51F","Santa Rosa de Cabal","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",186,,
"CHE","Switzerland","FUA","Functional Urban Area","CH010F","Biel/Bienne","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",128,,
"COL","Colombia","FUA","Functional Urban Area","COL45F","La Dorada","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",54.5,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK517F","Swansea","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",239,,
"SWE","Sweden","FUA","Functional Urban Area","SE006F","Uppsala","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",144,,
"ISL","Iceland","FUA","Functional Urban Area","IS001F","Reykjavík","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",212,,
"USA","United States","FUA","Functional Urban Area","USA89F","Spokane","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",271,,
"DEU","Germany","FUA","Functional Urban Area","DE024F","Trier","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.8,,
"FRA","France","FUA","Functional Urban Area","FR012F","Grenoble","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",42.2,,
"KOR","Korea","FUA","Functional Urban Area","KOR13F","Gumi","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",37.1,,
"CHL","Chile","FUA","Functional Urban Area","CL005F","Copiapo","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",16,,
"AUS","Australia","FUA","Functional Urban Area","AUS07F","Canberra","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",58,,
